Jurisdiction,Date,New Cases,7-day Average New Cases,Cumulative cases                          ,Population (2019),New Case Rate,7-Day Average New Case Rate,Cumulative Case Rate,County FIPS Code,Longitude,Latitude,Georeferenced Lat & Long
Butler,03/16/2021,36,43.6,14598,187853,19.2,23.2,7771,42019,-79.91711779,40.91083185,POINT (-79.91711779 40.91083185)
Clearfield,04/22/2021,33,32.3,8005,79255,41.6,40.7,10100.3,42033,-78.47558343,41.000429,POINT (-78.47558343 41.000429)
Susquehanna,04/17/2021,9,16.1,2264,40328,22.3,40,5614,42115,-75.80250303,41.8205686,POINT (-75.80250303 41.8205686)
York,03/21/2021,70,121.7,38048,449058,15.6,27.1,8472.8,42133,-76.72576052,39.92192531,POINT (-76.72576052 39.92192531)
Monroe,01/05/2021,88,89.4,6679,170271,51.7,52.5,3922.6,42089,-75.34083603,41.06091787,POINT (-75.34083603 41.06091787)
Westmoreland,09/12/2020,13,11.4,1988,348899,3.7,3.3,569.8,42129,-79.47134118,40.310315,POINT (-79.47134118 40.310315)
Bradford,04/28/2021,32,19.1,5621,60323,53,31.7,9318.2,42015,-76.51825624,41.79117814,POINT (-76.51825624 41.79117814)
Somerset,08/20/2020,5,1.4,154,73447,6.8,1.9,209.7,42111,-79.03100206,39.97146299,POINT (-79.03100206 39.97146299)
Lackawanna,06/04/2020,7,6.6,1578,209674,3.3,3.1,752.6,42069,-75.61218345,41.43910064,POINT (-75.61218345 41.43910064)
Northampton,11/06/2020,86,64.4,6079,305285,28.2,21.1,1991.3,42095,-75.31263726,40.7545954,POINT (-75.31263726 40.7545954)
Cambria,09/19/2020,6,3.6,568,130192,4.6,2.7,436.3,42021,-78.71894174,40.49127491,POINT (-78.71894174 40.49127491)
Chester,04/14/2021,186,190.3,36890,524989,35.4,36.2,7026.8,42029,-75.75626498,39.97487056,POINT (-75.75626498 39.97487056)
Tioga,07/07/2020,0,0.1,28,40591,0,0.4,69,42117,-77.25788076,41.77333834,POINT (-77.25788076 41.77333834)
Lancaster,01/06/2021,380,332.1,30380,545724,69.6,60.9,5566.9,42071,-76.25138768,40.04590796,POINT (-76.25138768 40.04590796)
Berks,12/11/2020,389,329.3,17844,421164,92.4,78.2,4236.8,42011,-75.93077327,40.41939635,POINT (-75.93077327 40.41939635)
Allegheny,04/16/2021,366,533.3,93607,1216045,30.1,43.9,7697.7,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Lancaster,04/12/2021,291,194.7,50302,545724,53.3,35.7,9217.5,42071,-76.25138768,40.04590796,POINT (-76.25138768 40.04590796)
Northampton,01/01/2021,328,229.3,17384,305285,107.4,75.1,5694.4,42095,-75.31263726,40.7545954,POINT (-75.31263726 40.7545954)
Cambria,01/13/2021,53,78,9907,130192,40.7,59.9,7609.5,42021,-78.71894174,40.49127491,POINT (-78.71894174 40.49127491)
Washington,10/19/2020,18,19.9,1706,206865,8.7,9.6,824.7,42125,-80.25180083,40.19109663,POINT (-80.25180083 40.19109663)
Indiana,08/01/2020,5,7.3,272,84073,5.9,8.7,323.5,42063,-79.09333493,40.65295497,POINT (-79.09333493 40.65295497)
Somerset,08/10/2020,1,1.4,139,73447,1.4,1.9,189.3,42111,-79.03100206,39.97146299,POINT (-79.03100206 39.97146299)
Clinton,03/15/2021,5,7,2938,38632,12.9,18.1,7605.1,42035,-77.6428376,41.23286274,POINT (-77.6428376 41.23286274)
Franklin,07/23/2020,28,19,1184,155027,18.1,12.3,763.7,42055,-77.72398845,39.92786197,POINT (-77.72398845 39.92786197)
Westmoreland,02/17/2021,85,68.7,26172,348899,24.4,19.7,7501.3,42129,-79.47134118,40.310315,POINT (-79.47134118 40.310315)
Bucks,04/29/2021,222,186.1,58431,628270,35.3,29.6,9300.3,42017,-75.11291241,40.33501133,POINT (-75.11291241 40.33501133)
Westmoreland,03/15/2021,106,63.7,27783,348899,30.4,18.3,7963,42129,-79.47134118,40.310315,POINT (-79.47134118 40.310315)
Lackawanna,06/24/2020,10,5.9,1656,209674,4.8,2.8,789.8,42069,-75.61218345,41.43910064,POINT (-75.61218345 41.43910064)
Blair,02/17/2021,32,21.9,10540,121829,26.3,17.9,8651.5,42013,-78.34907687,40.48555024,POINT (-78.34907687 40.48555024)
