Jurisdiction,Date,New Cases,7-day Average New Cases,Cumulative cases                          ,Population (2019),New Case Rate,7-Day Average New Case Rate,Cumulative Case Rate,County FIPS Code,Longitude,Latitude,Georeferenced Lat & Long
Cumberland,04/13/2020,6,6.9,128,253370,2.4,2.7,50.5,42041,-77.26866271,40.16759839,POINT (-77.26866271 40.16759839)
Erie,05/02/2020,1,2.1,100,269728,0.4,0.8,37.1,42049,-80.0407591,41.99413787,POINT (-80.0407591 41.99413787)
Bucks,05/29/2020,36,30.7,5131,628270,5.7,4.9,816.7,42017,-75.11291241,40.33501133,POINT (-75.11291241 40.33501133)
Lackawanna,03/24/2020,3,2.4,18,209674,1.4,1.2,8.6,42069,-75.61218345,41.43910064,POINT (-75.61218345 41.43910064)
Potter,07/05/2020,0,0.3,17,16526,0,1.7,102.9,42105,-77.89879229,41.74420644,POINT (-77.89879229 41.74420644)
Cumberland,09/16/2020,12,10.7,1738,253370,4.7,4.2,686,42041,-77.26866271,40.16759839,POINT (-77.26866271 40.16759839)
Schuylkill,11/20/2020,93,70.6,3360,141359,65.8,49.9,2376.9,42107,-76.22332385,40.70751243,POINT (-76.22332385 40.70751243)
Chester,03/17/2020,4,1.6,11,524989,0.8,0.3,2.1,42029,-75.75626498,39.97487056,POINT (-75.75626498 39.97487056)
Potter,01/09/2021,8,10.9,723,16526,48.4,65.7,4374.9,42105,-77.89879229,41.74420644,POINT (-77.89879229 41.74420644)
Indiana,10/04/2020,10,10.6,798,84073,11.9,12.6,949.2,42063,-79.09333493,40.65295497,POINT (-79.09333493 40.65295497)
Armstrong,04/05/2020,1,1.6,14,64735,1.5,2.4,21.6,42005,-79.47316899,40.81509526,POINT (-79.47316899 40.81509526)
Bucks,03/23/2020,18,8.3,66,628270,2.9,1.3,10.5,42017,-75.11291241,40.33501133,POINT (-75.11291241 40.33501133)
Bradford,09/28/2020,11,6,190,60323,18.2,9.9,315,42015,-76.51825624,41.79117814,POINT (-76.51825624 41.79117814)
Centre,05/13/2020,1,1.6,137,162385,0.6,1,84.4,42027,-77.82500112,40.9193135,POINT (-77.82500112 40.9193135)
Bedford,05/31/2020,1,0.6,42,47888,2.1,1.2,87.7,42009,-78.49116474,40.00737536,POINT (-78.49116474 40.00737536)
Chester,04/11/2020,28,43,579,524989,5.3,8.2,110.3,42029,-75.75626498,39.97487056,POINT (-75.75626498 39.97487056)
Susquehanna,03/23/2021,17,10,1881,40328,42.2,24.8,4664.3,42115,-75.80250303,41.8205686,POINT (-75.80250303 41.8205686)
Lackawanna,04/10/2020,47,34.1,392,209674,22.4,16.3,187,42069,-75.61218345,41.43910064,POINT (-75.61218345 41.43910064)
Jefferson,04/09/2020,0,0.1,1,43425,0,0.3,2.3,42065,-79.00101814,41.13139091,POINT (-79.00101814 41.13139091)
Pike,11/14/2020,8,7.7,746,55809,14.3,13.8,1336.7,42103,-75.03270924,41.332572,POINT (-75.03270924 41.332572)
Venango,04/21/2020,0,0,8,50668,0,0,15.8,42121,-79.76286561,41.40341259,POINT (-79.76286561 41.40341259)
Jefferson,10/21/2020,4,1.6,164,43425,9.2,3.6,377.7,42065,-79.00101814,41.13139091,POINT (-79.00101814 41.13139091)
Juniata,11/04/2020,10,3.9,270,24763,40.4,15.6,1090.3,42067,-77.405775,40.53433008,POINT (-77.405775 40.53433008)
Beaver,08/23/2020,3,13.4,1525,163929,1.8,8.2,930.3,42007,-80.35107356,40.68349245,POINT (-80.35107356 40.68349245)
Potter,04/04/2021,0,1.4,986,16526,0,8.6,5966.4,42105,-77.89879229,41.74420644,POINT (-77.89879229 41.74420644)
Sullivan,08/04/2020,0,0,11,6066,0,0,181.3,42113,-76.5147922,41.4480994,POINT (-76.5147922 41.4480994)
Crawford,03/17/2020,0,0,0,84629,0,0,0,42039,-80.11321083,41.68546907,POINT (-80.11321083 41.68546907)
Sullivan,08/20/2020,0,0,11,6066,0,0,181.3,42113,-76.5147922,41.4480994,POINT (-76.5147922 41.4480994)
Clinton,06/01/2020,3,0.9,61,38632,7.8,2.2,157.9,42035,-77.6428376,41.23286274,POINT (-77.6428376 41.23286274)
Bedford,12/25/2020,41,29.3,2844,47888,85.6,61.2,5938.9,42009,-78.49116474,40.00737536,POINT (-78.49116474 40.00737536)
Clearfield,04/11/2020,1,1,14,79255,1.3,1.3,17.7,42033,-78.47558343,41.000429,POINT (-78.47558343 41.000429)
Lehigh,05/27/2020,20,20.3,3724,369318,5.4,5.5,1008.3,42077,-75.60099481,40.61464794,POINT (-75.60099481 40.61464794)
Huntingdon,07/13/2020,0,1,263,45144,0,2.2,582.6,42061,-77.9827661,40.416105,POINT (-77.9827661 40.416105)
Crawford,10/02/2020,4,2.4,330,84629,4.7,2.9,389.9,42039,-80.11321083,41.68546907,POINT (-80.11321083 41.68546907)
Cameron,10/11/2020,0,0,8,4447,0,0,179.9,42023,-78.20916932,41.43880265,POINT (-78.20916932 41.43880265)
Huntingdon,03/13/2020,0,0,0,45144,0,0,0,42061,-77.9827661,40.416105,POINT (-77.9827661 40.416105)
Jefferson,02/09/2021,9,13.6,2681,43425,20.7,31.3,6173.9,42065,-79.00101814,41.13139091,POINT (-79.00101814 41.13139091)
Indiana,05/01/2020,0,0.1,63,84073,0,0.2,74.9,42063,-79.09333493,40.65295497,POINT (-79.09333493 40.65295497)
York,03/21/2020,0,1.3,9,449058,0,0.3,2,42133,-76.72576052,39.92192531,POINT (-76.72576052 39.92192531)
Lebanon,03/07/2020,0,,0,141793,0,,0,42075,-76.46182575,40.367597,POINT (-76.46182575 40.367597)
Potter,04/01/2021,0,1.1,984,16526,0,6.9,5954.3,42105,-77.89879229,41.74420644,POINT (-77.89879229 41.74420644)
Crawford,11/18/2020,74,62.9,1332,84629,87.4,74.3,1573.9,42039,-80.11321083,41.68546907,POINT (-80.11321083 41.68546907)
Sullivan,03/06/2020,0,,0,6066,0,,0,42113,-76.5147922,41.4480994,POINT (-76.5147922 41.4480994)
Cumberland,03/27/2020,5,1.6,22,253370,2,0.6,8.7,42041,-77.26866271,40.16759839,POINT (-77.26866271 40.16759839)
Armstrong,12/14/2020,46,55,2628,64735,71.1,85,4059.6,42005,-79.47316899,40.81509526,POINT (-79.47316899 40.81509526)
Bucks,05/24/2020,21,50.9,4961,628270,3.3,8.1,789.6,42017,-75.11291241,40.33501133,POINT (-75.11291241 40.33501133)
Centre,10/04/2020,79,73.1,3134,162385,48.6,45,1930,42027,-77.82500112,40.9193135,POINT (-77.82500112 40.9193135)
Juniata,05/23/2020,0,0,93,24763,0,0,375.6,42067,-77.405775,40.53433008,POINT (-77.405775 40.53433008)
Dauphin,03/31/2020,14,7.4,62,278299,5,2.7,22.3,42043,-76.77960568,40.41974636,POINT (-76.77960568 40.41974636)
Warren,05/04/2020,0,0,1,39191,0,0,2.6,42123,-79.27858158,41.81675237,POINT (-79.27858158 41.81675237)
Columbia,05/17/2020,1,1.3,337,64964,1.5,2,518.7,42037,-76.4100218,41.04912086,POINT (-76.4100218 41.04912086)
Northampton,03/23/2020,12,5.6,41,305285,3.9,1.8,13.4,42095,-75.31263726,40.7545954,POINT (-75.31263726 40.7545954)
Clinton,05/04/2020,0,0.4,32,38632,0,1.1,82.8,42035,-77.6428376,41.23286274,POINT (-77.6428376 41.23286274)
Philadelphia,06/07/2020,83,113.1,18989,1584064,5.2,7.1,1198.8,42101,-75.140236,40.00444354,POINT (-75.140236 40.00444354)
Susquehanna,06/13/2020,1,2.9,174,40328,2.5,7.1,431.5,42115,-75.80250303,41.8205686,POINT (-75.80250303 41.8205686)
Delaware,03/17/2020,4,1.7,13,566747,0.7,0.3,2.3,42045,-75.40627712,39.91657867,POINT (-75.40627712 39.91657867)
Lehigh,04/03/2020,219,98.9,809,369318,59.3,26.8,219.1,42077,-75.60099481,40.61464794,POINT (-75.60099481 40.61464794)
Pike,04/05/2020,12,13,131,55809,21.5,23.3,234.7,42103,-75.03270924,41.332572,POINT (-75.03270924 41.332572)
Schuylkill,01/02/2021,111,149.7,8479,141359,78.5,105.9,5998.2,42107,-76.22332385,40.70751243,POINT (-76.22332385 40.70751243)
Lawrence,11/04/2020,34,30.9,1126,85512,39.8,36.1,1316.8,42073,-80.33754114,40.99325035,POINT (-80.33754114 40.99325035)
Luzerne,04/07/2020,164,122.1,1144,317417,51.7,38.5,360.4,42079,-75.9919961,41.17836439,POINT (-75.9919961 41.17836439)
Dauphin,03/22/2020,0,0.1,1,278299,0,0.1,0.4,42043,-76.77960568,40.41974636,POINT (-76.77960568 40.41974636)
Sullivan,11/05/2020,0,0.3,23,6066,0,4.7,379.2,42113,-76.5147922,41.4480994,POINT (-76.5147922 41.4480994)
Chester,03/09/2020,0,0,0,524989,0,0,0,42029,-75.75626498,39.97487056,POINT (-75.75626498 39.97487056)
Allegheny,05/02/2020,13,19,1365,1216045,1.1,1.6,112.2,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Cameron,06/02/2020,0,0,2,4447,0,0,45,42023,-78.20916932,41.43880265,POINT (-78.20916932 41.43880265)
Fayette,03/01/2020,0,,0,129274,0,,0,42051,-79.65189635,39.9194478,POINT (-79.65189635 39.9194478)
Juniata,08/19/2020,2,1,142,24763,8.1,4,573.4,42067,-77.405775,40.53433008,POINT (-77.405775 40.53433008)
Columbia,03/20/2020,0,0,0,64964,0,0,0,42037,-76.4100218,41.04912086,POINT (-76.4100218 41.04912086)
Fayette,03/04/2020,0,,0,129274,0,,0,42051,-79.65189635,39.9194478,POINT (-79.65189635 39.9194478)
Pennsylvania,03/11/2020,7,3,21,12801989,0.1,0,0.2,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Centre,06/09/2020,1,0.7,165,162385,0.6,0.4,101.6,42027,-77.82500112,40.9193135,POINT (-77.82500112 40.9193135)
Northampton,07/03/2020,6,12.4,3490,305285,2,4.1,1143.2,42095,-75.31263726,40.7545954,POINT (-75.31263726 40.7545954)
Indiana,09/24/2020,9,12.3,701,84073,10.7,14.6,833.8,42063,-79.09333493,40.65295497,POINT (-79.09333493 40.65295497)
Lawrence,12/17/2020,104,68.6,3524,85512,121.6,80.2,4121.1,42073,-80.33754114,40.99325035,POINT (-80.33754114 40.99325035)
Potter,03/07/2020,0,,0,16526,0,,0,42105,-77.89879229,41.74420644,POINT (-77.89879229 41.74420644)
Cameron,04/03/2020,0,0,1,4447,0,0,22.5,42023,-78.20916932,41.43880265,POINT (-78.20916932 41.43880265)
Jefferson,12/28/2020,35,22,1857,43425,80.6,50.7,4276.3,42065,-79.00101814,41.13139091,POINT (-79.00101814 41.13139091)
Jefferson,03/12/2020,0,0,0,43425,0,0,0,42065,-79.00101814,41.13139091,POINT (-79.00101814 41.13139091)
Wyoming,01/07/2021,19,10,894,26794,70.9,37.3,3336.6,42131,-76.01813003,41.51892488,POINT (-76.01813003 41.51892488)
McKean,03/17/2020,0,0,0,40625,0,0,0,42083,-78.5712202,41.81037074,POINT (-78.5712202 41.81037074)
Clinton,05/06/2020,2,0.6,35,38632,5.2,1.5,90.6,42035,-77.6428376,41.23286274,POINT (-77.6428376 41.23286274)
Allegheny,03/11/2020,0,0,0,1216045,0,0,0,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Forest,03/23/2020,0,0,0,7247,0,0,0,42053,-79.23780995,41.51357876,POINT (-79.23780995 41.51357876)
Pike,11/15/2020,4,7.4,750,55809,7.2,13.3,1343.9,42103,-75.03270924,41.332572,POINT (-75.03270924 41.332572)
Beaver,03/16/2020,1,0.1,1,163929,0.6,0.1,0.6,42007,-80.35107356,40.68349245,POINT (-80.35107356 40.68349245)
Warren,06/26/2020,0,0,5,39191,0,0,12.8,42123,-79.27858158,41.81675237,POINT (-79.27858158 41.81675237)
Lawrence,03/17/2021,19,15.6,6343,85512,22.2,18.2,7417.7,42073,-80.33754114,40.99325035,POINT (-80.33754114 40.99325035)
Lycoming,07/21/2020,3,4,284,113299,2.6,3.5,250.7,42081,-77.06942457,41.34459792,POINT (-77.06942457 41.34459792)
Columbia,04/14/2020,6,11,133,64964,9.2,16.9,204.7,42037,-76.4100218,41.04912086,POINT (-76.4100218 41.04912086)
Blair,04/30/2020,0,0.6,23,121829,0,0.5,18.9,42013,-78.34907687,40.48555024,POINT (-78.34907687 40.48555024)
Bradford,04/21/2020,0,0.9,27,60323,0,1.4,44.8,42015,-76.51825624,41.79117814,POINT (-76.51825624 41.79117814)
Somerset,03/12/2020,0,0,0,73447,0,0,0,42111,-79.03100206,39.97146299,POINT (-79.03100206 39.97146299)
Blair,03/15/2020,0,0,0,121829,0,0,0,42013,-78.34907687,40.48555024,POINT (-78.34907687 40.48555024)
Clinton,11/15/2020,3,9.1,412,38632,7.8,23.7,1066.5,42035,-77.6428376,41.23286274,POINT (-77.6428376 41.23286274)
Jefferson,01/16/2021,11,17.3,2283,43425,25.3,39.8,5257.3,42065,-79.00101814,41.13139091,POINT (-79.00101814 41.13139091)
Potter,01/20/2021,5,6.6,805,16526,30.3,39.8,4871.1,42105,-77.89879229,41.74420644,POINT (-77.89879229 41.74420644)
Allegheny,07/08/2020,203,188.3,4441,1216045,16.7,15.5,365.2,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Schuylkill,06/13/2020,5,4.3,694,141359,3.5,3,490.9,42107,-76.22332385,40.70751243,POINT (-76.22332385 40.70751243)
Wyoming,04/21/2020,0,0.6,18,26794,0,2.1,67.2,42131,-76.01813003,41.51892488,POINT (-76.01813003 41.51892488)
Crawford,10/12/2020,5,3.7,364,84629,5.9,4.4,430.1,42039,-80.11321083,41.68546907,POINT (-80.11321083 41.68546907)
Susquehanna,06/11/2020,3,6.3,171,40328,7.4,15.6,424,42115,-75.80250303,41.8205686,POINT (-75.80250303 41.8205686)
Cameron,04/10/2020,0,0,1,4447,0,0,22.5,42023,-78.20916932,41.43880265,POINT (-78.20916932 41.43880265)
Berks,03/17/2020,0,0,0,421164,0,0,0,42011,-75.93077327,40.41939635,POINT (-75.93077327 40.41939635)
Mifflin,03/15/2020,0,0,0,46138,0,0,0,42087,-77.62003089,40.61274928,POINT (-77.62003089 40.61274928)
Lycoming,03/13/2020,0,0,0,113299,0,0,0,42081,-77.06942457,41.34459792,POINT (-77.06942457 41.34459792)
Juniata,05/17/2020,0,0,93,24763,0,0,375.6,42067,-77.405775,40.53433008,POINT (-77.405775 40.53433008)
Lycoming,06/29/2020,1,1.1,184,113299,0.9,1,162.4,42081,-77.06942457,41.34459792,POINT (-77.06942457 41.34459792)
Bucks,09/18/2020,48,37.3,8522,628270,7.6,5.9,1356.4,42017,-75.11291241,40.33501133,POINT (-75.11291241 40.33501133)
Huntingdon,05/14/2020,4,12.3,204,45144,8.9,27.2,451.9,42061,-77.9827661,40.416105,POINT (-77.9827661 40.416105)
Union,04/10/2020,2,1.3,13,44923,4.5,2.9,28.9,42119,-77.06415803,40.96473131,POINT (-77.06415803 40.96473131)
Cambria,05/12/2020,1,1.4,48,130192,0.8,1.1,36.9,42021,-78.71894174,40.49127491,POINT (-78.71894174 40.49127491)
Blair,07/05/2020,3,1.7,91,121829,2.5,1.4,74.7,42013,-78.34907687,40.48555024,POINT (-78.34907687 40.48555024)
Clearfield,04/20/2020,0,0.4,17,79255,0,0.5,21.4,42033,-78.47558343,41.000429,POINT (-78.47558343 41.000429)
Philadelphia,05/11/2020,194,237.9,14929,1584064,12.2,15,942.4,42101,-75.140236,40.00444354,POINT (-75.140236 40.00444354)
Greene,03/26/2020,1,0.6,4,36233,2.8,1.6,11,42059,-80.22943817,39.85480393,POINT (-80.22943817 39.85480393)
Potter,03/20/2021,0,1.3,971,16526,0,7.8,5875.6,42105,-77.89879229,41.74420644,POINT (-77.89879229 41.74420644)
Susquehanna,11/29/2020,4,9.3,640,40328,9.9,23,1587,42115,-75.80250303,41.8205686,POINT (-75.80250303 41.8205686)
Venango,03/12/2020,0,0,0,50668,0,0,0,42121,-79.76286561,41.40341259,POINT (-79.76286561 41.40341259)
Columbia,04/07/2020,11,6.9,56,64964,16.9,10.6,86.2,42037,-76.4100218,41.04912086,POINT (-76.4100218 41.04912086)
Venango,06/01/2020,0,0.1,12,50668,0,0.3,23.7,42121,-79.76286561,41.40341259,POINT (-79.76286561 41.40341259)
Huntingdon,04/27/2020,2,1.6,24,45144,4.4,3.5,53.2,42061,-77.9827661,40.416105,POINT (-77.9827661 40.416105)
Bedford,06/25/2020,4,1.7,76,47888,8.4,3.6,158.7,42009,-78.49116474,40.00737536,POINT (-78.49116474 40.00737536)
Susquehanna,07/06/2020,5,1,195,40328,12.4,2.5,483.5,42115,-75.80250303,41.8205686,POINT (-75.80250303 41.8205686)
Crawford,08/22/2020,3,3.4,199,84629,3.5,4.1,235.1,42039,-80.11321083,41.68546907,POINT (-80.11321083 41.68546907)
Lehigh,03/23/2020,3,4.9,34,369318,0.8,1.3,9.2,42077,-75.60099481,40.61464794,POINT (-75.60099481 40.61464794)
Philadelphia,03/25/2020,146,53.9,408,1584064,9.2,3.4,25.8,42101,-75.140236,40.00444354,POINT (-75.140236 40.00444354)
Bedford,12/05/2020,48,43.3,1864,47888,100.2,90.4,3892.4,42009,-78.49116474,40.00737536,POINT (-78.49116474 40.00737536)
Sullivan,04/25/2020,0,0,1,6066,0,0,16.5,42113,-76.5147922,41.4480994,POINT (-76.5147922 41.4480994)
Clearfield,06/19/2020,4,2,72,79255,5,2.5,90.8,42033,-78.47558343,41.000429,POINT (-78.47558343 41.000429)
Bradford,09/22/2020,2,2.6,150,60323,3.3,4.3,248.7,42015,-76.51825624,41.79117814,POINT (-76.51825624 41.79117814)
Beaver,10/17/2020,8,14.4,2159,163929,4.9,8.8,1317,42007,-80.35107356,40.68349245,POINT (-80.35107356 40.68349245)
Schuylkill,03/11/2020,0,0,0,141359,0,0,0,42107,-76.22332385,40.70751243,POINT (-76.22332385 40.70751243)
Sullivan,11/16/2020,0,1.6,35,6066,0,25.9,577,42113,-76.5147922,41.4480994,POINT (-76.5147922 41.4480994)
Sullivan,10/09/2020,0,0.1,16,6066,0,2.4,263.8,42113,-76.5147922,41.4480994,POINT (-76.5147922 41.4480994)
Jefferson,08/23/2020,1,2.3,100,43425,2.3,5.3,230.3,42065,-79.00101814,41.13139091,POINT (-79.00101814 41.13139091)
Sullivan,11/12/2020,3,1,30,6066,49.5,16.5,494.6,42113,-76.5147922,41.4480994,POINT (-76.5147922 41.4480994)
Susquehanna,03/29/2020,0,0.1,1,40328,0,0.4,2.5,42115,-75.80250303,41.8205686,POINT (-75.80250303 41.8205686)
Schuylkill,05/14/2020,16,11,511,141359,11.3,7.8,361.5,42107,-76.22332385,40.70751243,POINT (-76.22332385 40.70751243)
Potter,01/17/2021,0,8.7,787,16526,0,52.7,4762.2,42105,-77.89879229,41.74420644,POINT (-77.89879229 41.74420644)
Fulton,03/10/2020,0,0,0,14530,0,0,0,42057,-78.11485045,39.92487511,POINT (-78.11485045 39.92487511)
Clinton,06/21/2020,1,1,72,38632,2.6,2.6,186.4,42035,-77.6428376,41.23286274,POINT (-77.6428376 41.23286274)
Susquehanna,11/28/2020,7,9.7,636,40328,17.4,24.1,1577.1,42115,-75.80250303,41.8205686,POINT (-75.80250303 41.8205686)
Lycoming,03/28/2020,1,0.4,3,113299,0.9,0.4,2.6,42081,-77.06942457,41.34459792,POINT (-77.06942457 41.34459792)
Sullivan,10/04/2020,0,0.3,16,6066,0,4.7,263.8,42113,-76.5147922,41.4480994,POINT (-76.5147922 41.4480994)
Westmoreland,08/23/2020,6,16.1,1755,348899,1.7,4.6,503,42129,-79.47134118,40.310315,POINT (-79.47134118 40.310315)
McKean,05/12/2020,0,0.3,11,40625,0,0.7,27.1,42083,-78.5712202,41.81037074,POINT (-78.5712202 41.81037074)
Delaware,04/14/2020,70,123,1921,566747,12.4,21.7,339,42045,-75.40627712,39.91657867,POINT (-75.40627712 39.91657867)
Sullivan,07/10/2020,0,0,11,6066,0,0,181.3,42113,-76.5147922,41.4480994,POINT (-76.5147922 41.4480994)
Clearfield,07/31/2020,4,2.9,141,79255,5,3.6,177.9,42033,-78.47558343,41.000429,POINT (-78.47558343 41.000429)
Susquehanna,03/05/2020,0,,0,40328,0,,0,42115,-75.80250303,41.8205686,POINT (-75.80250303 41.8205686)
Perry,05/28/2020,2,2.3,58,46272,4.3,4.9,125.3,42099,-77.25907385,40.40415317,POINT (-77.25907385 40.40415317)
Tioga,03/23/2020,0,0,0,40591,0,0,0,42117,-77.25788076,41.77333834,POINT (-77.25788076 41.77333834)
Clinton,08/11/2020,1,1,126,38632,2.6,2.6,326.2,42035,-77.6428376,41.23286274,POINT (-77.6428376 41.23286274)
Forest,07/06/2020,0,0,7,7247,0,0,96.6,42053,-79.23780995,41.51357876,POINT (-79.23780995 41.51357876)
Dauphin,03/19/2020,0,0,0,278299,0,0,0,42043,-76.77960568,40.41974636,POINT (-76.77960568 40.41974636)
Susquehanna,11/30/2020,7,7.4,647,40328,17.4,18.4,1604.3,42115,-75.80250303,41.8205686,POINT (-75.80250303 41.8205686)
Clearfield,07/25/2020,1,2.1,122,79255,1.3,2.7,153.9,42033,-78.47558343,41.000429,POINT (-78.47558343 41.000429)
Blair,04/03/2020,1,0.4,5,121829,0.8,0.4,4.1,42013,-78.34907687,40.48555024,POINT (-78.34907687 40.48555024)
Cameron,07/24/2020,0,0,5,4447,0,0,112.4,42023,-78.20916932,41.43880265,POINT (-78.20916932 41.43880265)
Berks,03/03/2020,0,,0,421164,0,,0,42011,-75.93077327,40.41939635,POINT (-75.93077327 40.41939635)
Cameron,06/19/2020,0,0,2,4447,0,0,45,42023,-78.20916932,41.43880265,POINT (-78.20916932 41.43880265)
Lawrence,11/17/2020,43,42.4,1689,85512,50.3,49.6,1975.2,42073,-80.33754114,40.99325035,POINT (-80.33754114 40.99325035)
Juniata,09/13/2020,1,1.6,168,24763,4,6.3,678.4,42067,-77.405775,40.53433008,POINT (-77.405775 40.53433008)
Pike,04/02/2020,15,8.7,85,55809,26.9,15.6,152.3,42103,-75.03270924,41.332572,POINT (-75.03270924 41.332572)
Blair,09/07/2020,3,5.3,507,121829,2.5,4.3,416.2,42013,-78.34907687,40.48555024,POINT (-78.34907687 40.48555024)
Bucks,02/13/2021,170,191.4,42856,628270,27.1,30.5,6821.3,42017,-75.11291241,40.33501133,POINT (-75.11291241 40.33501133)
Northampton,04/15/2020,44,49.7,1315,305285,14.4,16.3,430.7,42095,-75.31263726,40.7545954,POINT (-75.31263726 40.7545954)
Potter,06/05/2020,3,1,11,16526,18.2,6.1,66.6,42105,-77.89879229,41.74420644,POINT (-77.89879229 41.74420644)
Schuylkill,11/03/2020,39,42.9,2344,141359,27.6,30.3,1658.2,42107,-76.22332385,40.70751243,POINT (-76.22332385 40.70751243)
Bradford,07/10/2020,0,0.4,70,60323,0,0.7,116,42015,-76.51825624,41.79117814,POINT (-76.51825624 41.79117814)
Warren,07/22/2020,0,0.3,12,39191,0,0.7,30.6,42123,-79.27858158,41.81675237,POINT (-79.27858158 41.81675237)
Blair,04/10/2020,1,0.7,10,121829,0.8,0.6,8.2,42013,-78.34907687,40.48555024,POINT (-78.34907687 40.48555024)
Warren,06/09/2020,0,0.1,5,39191,0,0.4,12.8,42123,-79.27858158,41.81675237,POINT (-79.27858158 41.81675237)
Cambria,05/11/2020,0,1.4,47,130192,0,1.1,36.1,42021,-78.71894174,40.49127491,POINT (-78.71894174 40.49127491)
Lackawanna,03/20/2020,1,0.9,6,209674,0.5,0.4,2.9,42069,-75.61218345,41.43910064,POINT (-75.61218345 41.43910064)
Clinton,07/29/2020,1,1.1,115,38632,2.6,3,297.7,42035,-77.6428376,41.23286274,POINT (-77.6428376 41.23286274)
Allegheny,03/15/2020,0,0.4,3,1216045,0,0,0.2,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Potter,10/07/2020,0,0.6,35,16526,0,3.5,211.8,42105,-77.89879229,41.74420644,POINT (-77.89879229 41.74420644)
Warren,04/21/2020,0,0,1,39191,0,0,2.6,42123,-79.27858158,41.81675237,POINT (-79.27858158 41.81675237)
Sullivan,11/13/2020,3,1.4,33,6066,49.5,23.6,544,42113,-76.5147922,41.4480994,POINT (-76.5147922 41.4480994)
Potter,05/17/2020,0,0,4,16526,0,0,24.2,42105,-77.89879229,41.74420644,POINT (-77.89879229 41.74420644)
Schuylkill,01/04/2021,115,146.6,8660,141359,81.4,103.7,6126.2,42107,-76.22332385,40.70751243,POINT (-76.22332385 40.70751243)
Elk,03/03/2020,0,,0,29910,0,,0,42047,-78.64947713,41.42819416,POINT (-78.64947713 41.42819416)
Bucks,03/13/2020,1,0.4,3,628270,0.2,0.1,0.5,42017,-75.11291241,40.33501133,POINT (-75.11291241 40.33501133)
Wyoming,12/23/2020,16,13,735,26794,59.7,48.5,2743.2,42131,-76.01813003,41.51892488,POINT (-76.01813003 41.51892488)
Lycoming,03/05/2020,0,,0,113299,0,,0,42081,-77.06942457,41.34459792,POINT (-77.06942457 41.34459792)
Lebanon,03/13/2020,0,0,0,141793,0,0,0,42075,-76.46182575,40.367597,POINT (-76.46182575 40.367597)
Lancaster,03/24/2020,2,1.6,11,545724,0.4,0.3,2,42071,-76.25138768,40.04590796,POINT (-76.25138768 40.04590796)
Cumberland,08/04/2020,19,11.4,1285,253370,7.5,4.5,507.2,42041,-77.26866271,40.16759839,POINT (-77.26866271 40.16759839)
Franklin,01/04/2021,230,111.6,9183,155027,148.4,72,5923.5,42055,-77.72398845,39.92786197,POINT (-77.72398845 39.92786197)
McKean,03/25/2020,0,0,0,40625,0,0,0,42083,-78.5712202,41.81037074,POINT (-78.5712202 41.81037074)
Armstrong,03/16/2021,17,9.9,5018,64735,26.3,15.2,7751.6,42005,-79.47316899,40.81509526,POINT (-79.47316899 40.81509526)
Delaware,05/27/2020,47,50.7,6433,566747,8.3,8.9,1135.1,42045,-75.40627712,39.91657867,POINT (-75.40627712 39.91657867)
Bedford,06/18/2020,1,2.3,64,47888,2.1,4.8,133.6,42009,-78.49116474,40.00737536,POINT (-78.49116474 40.00737536)
Delaware,03/15/2020,0,0.9,7,566747,0,0.2,1.2,42045,-75.40627712,39.91657867,POINT (-75.40627712 39.91657867)
Bedford,05/09/2020,0,0.7,29,47888,0,1.5,60.6,42009,-78.49116474,40.00737536,POINT (-78.49116474 40.00737536)
Centre,05/05/2020,8,2.6,122,162385,4.9,1.6,75.1,42027,-77.82500112,40.9193135,POINT (-77.82500112 40.9193135)
Allegheny,05/11/2020,13,21.4,1542,1216045,1.1,1.8,126.8,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Lancaster,03/11/2020,0,0,0,545724,0,0,0,42071,-76.25138768,40.04590796,POINT (-76.25138768 40.04590796)
Susquehanna,11/02/2020,11,5.6,451,40328,27.3,13.8,1118.3,42115,-75.80250303,41.8205686,POINT (-75.80250303 41.8205686)
Schuylkill,10/20/2020,29,32.4,1714,141359,20.5,22.9,1212.5,42107,-76.22332385,40.70751243,POINT (-76.22332385 40.70751243)
Cameron,05/02/2020,0,0,1,4447,0,0,22.5,42023,-78.20916932,41.43880265,POINT (-78.20916932 41.43880265)
Susquehanna,10/25/2020,2,3.7,410,40328,5,9.2,1016.7,42115,-75.80250303,41.8205686,POINT (-75.80250303 41.8205686)
Carbon,03/11/2020,0,0,0,64182,0,0,0,42025,-75.71107039,40.91936701,POINT (-75.71107039 40.91936701)
Forest,08/03/2020,0,0,9,7247,0,0,124.2,42053,-79.23780995,41.51357876,POINT (-79.23780995 41.51357876)
Cameron,03/11/2020,0,0,0,4447,0,0,0,42023,-78.20916932,41.43880265,POINT (-78.20916932 41.43880265)
Bucks,04/11/2020,57,84.7,1194,628270,9.1,13.5,190,42017,-75.11291241,40.33501133,POINT (-75.11291241 40.33501133)
